Артикул;Наименование;Количество;Единица измерения;Тип;Цена
09.0040.013.50.4G;Заглушка самоклеющ. светлая вишня, D13 /уп. 25 шт.;2568;упак.;Заглушка;2,5
09.0040.013.50.4L;Заглушка самоклеющ. темная вишня, D13 /уп. 25 шт.;509;упак.;Заглушка;2,5
09.0040.013.50.54;Заглушка самоклеющ. черный, D13 /уп. 25 шт.;550;упак.;Заглушка;9,07
09.0040.013.50.7S;Заглушка самоклеющ. махагон, D13/уп. 25 шт..;1047;упак.;Заглушка;27,57
09.0040.013.50.С13;Заглушка самоклеющ. клен, D13 /уп. 25 шт.;842;упак.;Заглушка;27,57
09.0040.020.50.1D;Заглушка самоклеющ. ольха, D20/уп. 15 шт.;2351;упак.;Заглушка;2,5
09.0040.020.50.2С;Заглушка самоклеющ. дуб, D20/уп. 15 шт.;1352;упак.;Заглушка;9,44
09.0040.020.50.4L;Заглушка самоклеющ. темная вишня, D20/уп. 15 шт.;2505;упак.;Заглушка;4,95
09.0040.020.50.4M;Заглушка самоклеющ. вишня, D20/уп. 15 шт.;2889;упак.;Заглушка;14,57
09.0040.020.50.70;Заглушка самоклеющ. бук, D20/уп. 15 шт.;271;упак.;Заглушка;8,97
09.0040.020.50.C01;Заглушка самоклеющ. Клен Фьёрд, D20/уп. 15 шт.;346;упак.;Заглушка;2,5
13.005-HM;Заглушка самоклеящаяся клен фьорд, D13 мм (63 шт.);1431;упак.;Заглушка;27,64
13.006-HM;Заглушка самоклеящаяся дуб беленый, D13 мм (63 шт.);1160;упак.;Заглушка;27,64
13.010-HD;Заглушка самоклеящаяся черная, D13 мм (63 шт.);1980;упак.;Заглушка;27,64
13.020-HD;Заглушка самоклеящаяся белая, D13 мм (63 шт.);1440;упак.;Заглушка;27,64
13.022-HM;Заглушка самоклеящаяся серый металлик, D13 мм (63 шт.);468;упак.;Заглушка;27,64
13.025-HD;Заглушка самоклеящаяся зелёная, D13 мм (63 шт.);333;упак.;Заглушка;27,64
13.030-HD;Заглушка самоклеящаяся бежевый однотонный, D13 мм (63 шт.);1287;упак.;Заглушка;27,64
13.032-HM;Заглушка самоклеящаяся яблоня локарно, D13 мм (63 шт.);2380;упак.;Заглушка;27,64
13.048-HM;Заглушка самоклеящаяся махагон, D13 мм (63 шт.);910;упак.;Заглушка;27,64
13.050-HM;Заглушка самоклеящаяся светлая вишня, D13 мм (63 шт.);221;упак.;Заглушка;27,64
